BASE_YM,BASE_YEAR,BASE_MT,CTPRVN_CD,CTPRVN_NM,SCRNG_MOVIE_CO,MOVIE_ADNC_CO,EXPNDTR_PRICE,POPLTN_PER_MOVIE_ADNC_CO,MOVIE_ADNC_CO_SCORE,EXPNDTR_PRICE_SCORE,GNRLZ_SCORE,STDR_SCRNG_MOVIE_CO,STDR_MOVIE_ADNC_CO,STDR_EXPNDTR_PRICE
202001,2020,01,00,전국,406,16843695,143681061430.00000,324.86990,127.76656,102.85613,115.31135,234.58333,2410351.25000,25540506805.66667
202001,2020,01,11,서울시,258,4208582,36753126140.00000,432.38076,170.04901,140.14687,155.09794,234.58333,2410351.25000,25540506805.66667
202001,2020,01,26,부산시,113,1165672,9852369060.00000,341.65705,134.36870,107.17988,120.77429,234.58333,2410351.25000,25540506805.66667
202001,2020,01,27,대구시,106,872010,7559113060.00000,357.89628,140.75535,115.15031,127.95283,234.58333,2410351.25000,25540506805.66667
202001,2020,01,28,인천시,88,843032,7260610960.00000,285.18202,112.15790,91.16115,101.65953,234.58333,2410351.25000,25540506805.66667
202001,2020,01,29,광주시,70,609067,5077271460.00000,418.11768,164.43954,129.36667,146.90311,234.58333,2410351.25000,25540506805.66667
202001,2020,01,30,대전시,71,582125,5043329240.00000,394.88804,155.30367,126.97950,141.14159,234.58333,2410351.25000,25540506805.66667
202001,2020,01,31,울산시,43,378840,3233969340.00000,330.27705,129.89312,104.64465,117.26888,234.58333,2410351.25000,25540506805.66667
202001,2020,01,36,세종시,35,90425,742986640.00000,264.14725,103.88524,80.55586,92.22055,234.58333,2410351.25000,25540506805.66667
202001,2020,01,41,경기도,119,4056946,35005699510.00000,306.17610,120.41457,98.05492,109.23474,234.58333,2410351.25000,25540506805.66667
202001,2020,01,43,충청북도,61,457269,3795917080.00000,285.90195,112.44104,88.08879,100.26491,234.58333,2410351.25000,25540506805.66667
202001,2020,01,44,충청남도,110,550846,4593631680.00000,259.53248,102.07031,80.32972,91.20002,234.58333,2410351.25000,25540506805.66667
202001,2020,01,45,전라북도,99,545167,4343451730.00000,299.98701,117.98049,88.70875,103.34462,234.58333,2410351.25000,25540506805.66667
202001,2020,01,46,전라남도,30,410196,3267494660.00000,219.97821,86.51420,65.03718,75.77569,234.58333,2410351.25000,25540506805.66667
202001,2020,01,47,경상북도,86,565635,4648548220.00000,212.44443,83.55128,64.80149,74.17638,234.58333,2410351.25000,25540506805.66667
202001,2020,01,48,경상남도,138,895631,7499677780.00000,266.45027,104.79098,82.81103,93.80101,234.58333,2410351.25000,25540506805.66667
202001,2020,01,50,제주도,37,186265,1598496580.00000,277.69702,109.21416,88.45253,98.83334,234.58333,2410351.25000,25540506805.66667
202001,2020,01,51,강원도,63,425987,3405368290.00000,276.51797,108.75046,82.04454,95.39750,234.58333,2410351.25000,25540506805.66667
202002,2020,02,00,전국,371,7372370,62303647980.00000,142.20124,55.92566,44.60343,50.26455,234.58333,2410351.25000,25540506805.66667
202002,2020,02,11,서울시,231,2042829,17747127400.00000,209.80148,82.51184,67.64928,75.08056,234.58333,2410351.25000,25540506805.66667
202002,2020,02,26,부산시,103,528699,4393675580.00000,155.00165,60.95987,47.80952,54.38470,234.58333,2410351.25000,25540506805.66667
202002,2020,02,27,대구시,92,330726,2808340320.00000,135.93995,53.46319,42.84371,48.15345,234.58333,2410351.25000,25540506805.66667
202002,2020,02,28,인천시,80,362413,3086864100.00000,122.64586,48.23482,38.77262,43.50372,234.58333,2410351.25000,25540506805.66667
202002,2020,02,29,광주시,67,259901,2131723080.00000,178.48860,70.19695,54.33653,62.26674,234.58333,2410351.25000,25540506805.66667
202002,2020,02,30,대전시,58,260550,2211209540.00000,176.86890,69.55994,55.71201,62.63598,234.58333,2410351.25000,25540506805.66667
202002,2020,02,31,울산시,44,160928,1354693340.00000,140.46137,55.24140,43.88588,49.56364,234.58333,2410351.25000,25540506805.66667
202002,2020,02,36,세종시,32,35769,289819740.00000,104.04377,40.91889,31.28930,36.10409,234.58333,2410351.25000,25540506805.66667
202002,2020,02,41,경기도,105,1674097,14327462050.00000,126.20048,49.63280,40.08743,44.86011,234.58333,2410351.25000,25540506805.66667
202002,2020,02,43,충청북도,61,198208,1611837900.00000,123.98857,48.76288,37.42315,43.09302,234.58333,2410351.25000,25540506805.66667
202002,2020,02,44,충청남도,110,237129,1957047620.00000,111.80083,43.96963,34.24682,39.10822,234.58333,2410351.25000,25540506805.66667
202002,2020,02,45,전라북도,85,228939,1803635920.00000,126.12941,49.60484,36.88111,43.24298,234.58333,2410351.25000,25540506805.66667
202002,2020,02,46,전라남도,37,178577,1405759160.00000,95.91148,37.72058,28.02299,32.87178,234.58333,2410351.25000,25540506805.66667
202002,2020,02,47,경상북도,74,216377,1772383280.00000,81.37668,32.00425,24.74031,28.37228,234.58333,2410351.25000,25540506805.66667
202002,2020,02,48,경상남도,135,378033,3138952830.00000,112.54908,44.26390,34.68611,39.47501,234.58333,2410351.25000,25540506805.66667
202002,2020,02,50,제주도,35,86257,736238220.00000,128.57369,50.56614,40.73190,45.64902,234.58333,2410351.25000,25540506805.66667
