BASE_YM,BASE_YEAR,BASE_MT,CTPRVN_CD,CTPRVN_NM,SCRNG_MOVIE_CO,MOVIE_ADNC_CO,EXPNDTR_PRICE,POPLTN_PER_MOVIE_ADNC_CO,MOVIE_ADNC_CO_SCORE,EXPNDTR_PRICE_SCORE,GNRLZ_SCORE,STDR_SCRNG_MOVIE_CO,STDR_MOVIE_ADNC_CO,STDR_EXPNDTR_PRICE
202301,2023,01,00,전국,324,11250344,124073092373.00000,218.75054,86.03137,89.54050,87.78594,234.58333,2410351.25000,25540506805.66667
202301,2023,01,11,서울시,186,2912634,33405701229.00000,309.03695,121.53970,131.55388,126.54679,234.58333,2410351.25000,25540506805.66667
202301,2023,01,26,부산시,109,743607,7973498616.00000,224.24095,88.19068,89.24398,88.71733,234.58333,2410351.25000,25540506805.66667
202301,2023,01,27,대구시,79,523147,5703589302.00000,221.40227,87.07426,89.59116,88.33271,234.58333,2410351.25000,25540506805.66667
202301,2023,01,28,인천시,98,562760,6174731883.00000,189.51326,74.53278,77.17792,75.85535,234.58333,2410351.25000,25540506805.66667
202301,2023,01,29,광주시,63,362042,3915982735.00000,253.20880,99.58331,101.65276,100.61803,234.58333,2410351.25000,25540506805.66667
202301,2023,01,30,대전시,73,356994,4056310500.00000,246.91694,97.10881,104.13093,100.61987,234.58333,2410351.25000,25540506805.66667
202301,2023,01,31,울산시,44,242096,2724096542.00000,218.08997,85.77158,91.08128,88.42643,234.58333,2410351.25000,25540506805.66667
202301,2023,01,36,세종시,27,69441,758837322.00000,180.60266,71.02837,73.25131,72.13984,234.58333,2410351.25000,25540506805.66667
202301,2023,01,41,경기도,114,2941171,33107256536.00000,216.32475,85.07735,90.37903,87.72819,234.58333,2410351.25000,25540506805.66667
202301,2023,01,43,충청북도,49,288807,3084883210.00000,181.13166,71.23642,71.80984,71.52313,234.58333,2410351.25000,25540506805.66667
202301,2023,01,44,충청남도,100,362358,3826863286.00000,170.68905,67.12950,66.90665,67.01808,234.58333,2410351.25000,25540506805.66667
202301,2023,01,45,전라북도,70,318224,3379758821.00000,179.96764,70.77863,70.94238,70.86051,234.58333,2410351.25000,25540506805.66667
202301,2023,01,46,전라남도,45,236432,2325646307.00000,130.14317,51.18340,47.51353,49.34847,234.58333,2410351.25000,25540506805.66667
202301,2023,01,47,경상북도,68,364004,3645858437.00000,140.13483,55.11297,52.09527,53.60412,234.58333,2410351.25000,25540506805.66667
202301,2023,01,48,경상남도,101,564069,5821817678.00000,172.09440,67.68220,65.92523,66.80372,234.58333,2410351.25000,25540506805.66667
202301,2023,01,50,제주도,30,140277,1478850300.00000,207.05306,81.43093,81.01734,81.22413,234.58333,2410351.25000,25540506805.66667
202301,2023,01,51,강원도,64,262294,2689526669.00000,170.83406,67.18653,65.01604,66.10128,234.58333,2410351.25000,25540506805.66667
202302,2023,02,00,전국,305,6421293,69050485975.00000,124.87570,49.11178,49.84031,49.47604,234.58333,2410351.25000,25540506805.66667
202302,2023,02,11,서울시,191,1883898,21196061879.00000,199.82831,78.58954,83.44751,81.01853,234.58333,2410351.25000,25540506805.66667
202302,2023,02,26,부산시,109,420009,4376135719.00000,126.67983,49.82132,48.98896,49.40514,234.58333,2410351.25000,25540506805.66667
202302,2023,02,27,대구시,83,291056,3090989663.00000,123.29423,48.48981,48.59844,48.54412,234.58333,2410351.25000,25540506805.66667
202302,2023,02,28,인천시,90,314878,3334574205.00000,105.95574,41.67084,41.64675,41.65879,234.58333,2410351.25000,25540506805.66667
202302,2023,02,29,광주시,69,208697,2173051187.00000,146.05155,57.43993,56.44409,56.94201,234.58333,2410351.25000,25540506805.66667
202302,2023,02,30,대전시,79,203930,2207036274.00000,141.04262,55.46999,56.65487,56.06243,234.58333,2410351.25000,25540506805.66667
202302,2023,02,31,울산시,50,126351,1368822035.00000,113.96680,44.82147,45.82529,45.32338,234.58333,2410351.25000,25540506805.66667
202302,2023,02,36,세종시,32,39027,420392447.00000,101.29385,39.83738,40.49779,40.16759,234.58333,2410351.25000,25540506805.66667
202302,2023,02,41,경기도,116,1586058,17291438047.00000,116.61505,45.86299,47.18731,46.52515,234.58333,2410351.25000,25540506805.66667
202302,2023,02,43,충청북도,57,154386,1612484931.00000,96.88886,38.10497,37.55953,37.83225,234.58333,2410351.25000,25540506805.66667
202302,2023,02,44,충청남도,127,198275,2050487775.00000,93.36630,36.71959,35.83752,36.27856,234.58333,2410351.25000,25540506805.66667
202302,2023,02,45,전라북도,79,169098,1726036188.00000,95.72358,37.64668,36.26510,36.95589,234.58333,2410351.25000,25540506805.66667
202302,2023,02,46,전라남도,45,123323,1182694710.00000,67.95187,26.72447,24.18737,25.45592,234.58333,2410351.25000,25540506805.66667
202302,2023,02,47,경상북도,71,188703,1833388951.00000,72.73476,28.60552,26.22868,27.41710,234.58333,2410351.25000,25540506805.66667
202302,2023,02,48,경상남도,97,289270,2919126128.00000,88.39741,34.76540,33.10911,33.93726,234.58333,2410351.25000,25540506805.66667
202302,2023,02,50,제주도,31,77044,799705400.00000,113.78694,44.75073,43.83714,44.29394,234.58333,2410351.25000,25540506805.66667
202302,2023,02,51,강원도,74,147292,1468072436.00000,96.01406,37.76092,35.51908,36.64000,234.58333,2410351.25000,25540506805.66667
202303,2023,03,00,전국,357,7476214,80022665615.00000,145.41123,57.18810,57.76806,57.47808,234.58333,2410351.25000,25540506805.66667
202303,2023,03,11,서울시,205,2088673,23100379031.00000,221.57686,87.14293,90.95606,89.04949,234.58333,2410351.25000,25540506805.66667
202303,2023,03,26,부산시,112,528712,5583090308.00000,159.56112,62.75305,62.53759,62.64532,234.58333,2410351.25000,25540506805.66667
202303,2023,03,27,대구시,81,346373,3722272794.00000,146.83118,57.74655,58.56539,58.15597,234.58333,2410351.25000,25540506805.66667
202303,2023,03,28,인천시,101,375103,4017461425.00000,126.10704,49.59605,50.13016,49.86310,234.58333,2410351.25000,25540506805.66667
202303,2023,03,29,광주시,84,244335,2526630354.00000,171.16191,67.31547,65.69340,66.50443,234.58333,2410351.25000,25540506805.66667
202303,2023,03,30,대전시,91,253966,2742998428.00000,175.69191,69.09705,70.43043,69.76374,234.58333,2410351.25000,25540506805.66667
202303,2023,03,31,울산시,62,145549,1572869312.00000,131.39203,51.67456,52.70005,52.18730,234.58333,2410351.25000,25540506805.66667
202303,2023,03,36,세종시,32,44717,485991545.00000,115.96462,45.60718,46.77783,46.19251,234.58333,2410351.25000,25540506805.66667
202303,2023,03,41,경기도,114,1826659,19762062977.00000,134.27815,52.80963,53.91861,53.36412,234.58333,2410351.25000,25540506805.66667
202303,2023,03,43,충청북도,63,190448,2004373685.00000,119.47385,46.98731,46.66956,46.82843,234.58333,2410351.25000,25540506805.66667
202303,2023,03,44,충청남도,120,248816,2593551312.00000,117.10917,46.05732,45.30707,45.68220,234.58333,2410351.25000,25540506805.66667
202303,2023,03,45,전라북도,90,195696,2019208992.00000,110.86493,43.60155,42.45727,43.02941,234.58333,2410351.25000,25540506805.66667
202303,2023,03,46,전라남도,48,142957,1400538336.00000,78.81317,30.99606,28.65807,29.82707,234.58333,2410351.25000,25540506805.66667
202303,2023,03,47,경상북도,82,233935,2273600182.00000,90.21059,35.47850,32.54131,34.00990,234.58333,2410351.25000,25540506805.66667
202303,2023,03,48,경상남도,127,340777,3449886588.00000,104.23776,40.99518,39.16681,40.08099,234.58333,2410351.25000,25540506805.66667
202303,2023,03,50,제주도,43,83185,871305000.00000,122.86734,48.32192,47.76615,48.04403,234.58333,2410351.25000,25540506805.66667
202303,2023,03,51,강원도,80,186304,1896414346.00000,121.47206,47.77318,45.89295,46.83306,234.58333,2410351.25000,25540506805.66667
202304,2023,04,00,전국,389,6972978,70693042576.00000,135.63953,53.34504,51.03912,52.19208,234.58333,2410351.25000,25540506805.66667
202304,2023,04,11,서울시,229,1996690,20995325192.00000,211.90188,83.33790,82.69997,83.01893,234.58333,2410351.25000,25540506805.66667
202304,2023,04,26,부산시,124,462302,4560046911.00000,139.60914,54.90623,51.11119,53.00871,234.58333,2410351.25000,25540506805.66667
202304,2023,04,27,대구시,98,295302,2936681375.00000,125.24042,49.25522,46.22677,47.74099,234.58333,2410351.25000,25540506805.66667
202304,2023,04,28,인천시,111,344440,3475176652.00000,115.72610,45.51338,43.33644,44.42491,234.58333,2410351.25000,25540506805.66667
202304,2023,04,29,광주시,104,213882,2078931403.00000,149.92167,58.96199,54.08650,56.52425,234.58333,2410351.25000,25540506805.66667
202304,2023,04,30,대전시,102,222452,2236648096.00000,153.92323,60.53575,57.44127,58.98851,234.58333,2410351.25000,25540506805.66667
202304,2023,04,31,울산시,78,137425,1385198227.00000,124.12680,48.81725,46.43766,47.62745,234.58333,2410351.25000,25540506805.66667
202304,2023,04,36,세종시,39,44934,458049827.00000,116.46213,45.80284,44.06370,44.93327,234.58333,2410351.25000,25540506805.66667
202304,2023,04,41,경기도,145,1779380,18228810725.00000,130.76063,51.42623,49.71932,50.57278,234.58333,2410351.25000,25540506805.66667
202304,2023,04,43,충청북도,77,175985,1769718281.00000,110.39709,43.41756,41.20450,42.31103,234.58333,2410351.25000,25540506805.66667
202304,2023,04,44,충청남도,118,219803,2199400563.00000,103.42050,40.67376,38.40926,39.54151,234.58333,2410351.25000,25540506805.66667
202304,2023,04,45,전라북도,90,176420,1715821220.00000,100.00108,39.32896,36.09836,37.71366,234.58333,2410351.25000,25540506805.66667
202304,2023,04,46,전라남도,49,131039,1252749070.00000,72.25994,28.41878,25.64010,27.02944,234.58333,2410351.25000,25540506805.66667
202304,2023,04,47,경상북도,110,206780,1965483166.00000,79.76993,31.37234,28.14223,29.75729,234.58333,2410351.25000,25540506805.66667
202304,2023,04,48,경상남도,121,321593,3092555686.00000,98.42568,38.70937,35.12998,36.91968,234.58333,2410351.25000,25540506805.66667
202304,2023,04,50,제주도,44,82577,828440600.00000,121.95417,47.96279,45.41063,46.68671,234.58333,2410351.25000,25540506805.66667
202304,2023,04,51,강원도,93,161824,1513155582.00000,105.53583,41.50569,36.62681,39.06625,234.58333,2410351.25000,25540506805.66667
202305,2023,05,00,전국,404,11747296,118886060121.00000,228.54430,89.88312,85.84638,87.86475,234.58333,2410351.25000,25540506805.66667
202305,2023,05,11,서울시,239,3018955,31913448621.00000,320.52148,126.05640,125.75718,125.90679,234.58333,2410351.25000,25540506805.66667
202305,2023,05,26,부산시,113,767670,7543268168.00000,231.97626,91.23286,84.60326,87.91806,234.58333,2410351.25000,25540506805.66667
202305,2023,05,27,대구시,85,529440,5226723190.00000,224.62147,88.34033,82.30431,85.32232,234.58333,2410351.25000,25540506805.66667
202305,2023,05,28,인천시,102,615511,6192408178.00000,206.67985,81.28415,77.17568,79.22992,234.58333,2410351.25000,25540506805.66667
202305,2023,05,29,광주시,87,381262,3750663231.00000,267.41360,105.16984,97.63974,101.40479,234.58333,2410351.25000,25540506805.66667
202305,2023,05,30,대전시,86,395611,3976337254.00000,273.73737,107.65689,102.11923,104.88806,234.58333,2410351.25000,25540506805.66667
202305,2023,05,31,울산시,60,236805,2383423362.00000,214.02310,84.17214,79.95204,82.06209,234.58333,2410351.25000,25540506805.66667
202305,2023,05,36,세종시,34,82834,828256372.00000,214.56806,84.38647,79.63056,82.00852,234.58333,2410351.25000,25540506805.66667
202305,2023,05,41,경기도,133,3068970,31459805060.00000,225.45074,88.66646,85.77754,87.22200,234.58333,2410351.25000,25540506805.66667
202305,2023,05,43,충청북도,72,312209,3099386898.00000,195.86426,77.03054,72.16791,74.59922,234.58333,2410351.25000,25540506805.66667
202305,2023,05,44,충청남도,102,410058,4070672925.00000,192.89286,75.86193,71.07152,73.46673,234.58333,2410351.25000,25540506805.66667
202305,2023,05,45,전라북도,76,321748,3136692048.00000,182.49987,71.77452,66.03545,68.90499,234.58333,2410351.25000,25540506805.66667
202305,2023,05,46,전라남도,60,246449,2344554941.00000,135.97374,53.47648,48.01169,50.74408,234.58333,2410351.25000,25540506805.66667
202305,2023,05,47,경상북도,113,375663,3551752805.00000,145.00298,57.02755,50.88383,53.95569,234.58333,2410351.25000,25540506805.66667
202305,2023,05,48,경상남도,119,559688,5321280012.00000,171.41958,67.41680,60.49077,63.95379,234.58333,2410351.25000,25540506805.66667
202305,2023,05,50,제주도,37,142248,1413379800.00000,210.09753,82.62827,77.48046,80.05437,234.58333,2410351.25000,25540506805.66667
202305,2023,05,51,강원도,90,281627,2670055256.00000,183.70001,72.24652,64.64184,68.44418,234.58333,2410351.25000,25540506805.66667
202306,2023,06,00,전국,420,14522808,145116088338.00000,282.58479,111.13645,104.80266,107.96956,234.58333,2410351.25000,25540506805.66667
202306,2023,06,11,서울시,208,3578120,36845228205.00000,380.08123,149.48037,145.26511,147.37274,234.58333,2410351.25000,25540506805.66667
202306,2023,06,26,부산시,124,940917,9182290929.00000,284.52343,111.89889,103.05672,107.47781,234.58333,2410351.25000,25540506805.66667
202306,2023,06,27,대구시,86,674918,6600027491.00000,286.41717,112.64367,103.95667,108.30017,234.58333,2410351.25000,25540506805.66667
202306,2023,06,28,인천시,112,785049,7871428183.00000,263.54990,103.65031,98.07949,100.86490,234.58333,2410351.25000,25540506805.66667
202306,2023,06,29,광주시,82,474521,4589286066.00000,333.03973,130.97964,119.54855,125.26409,234.58333,2410351.25000,25540506805.66667
202306,2023,06,30,대전시,86,498876,4941432877.00000,345.21280,135.76713,126.91289,131.34001,234.58333,2410351.25000,25540506805.66667
202306,2023,06,31,울산시,53,295152,2931085657.00000,266.86076,104.95242,98.36171,101.65706,234.58333,2410351.25000,25540506805.66667
202306,2023,06,36,세종시,30,94417,953998690.00000,244.52381,96.16762,91.70168,93.93465,234.58333,2410351.25000,25540506805.66667
