BASE_YM,BASE_YEAR,BASE_MT,CTPRVN_CD,CTPRVN_NM,SCRNG_MOVIE_CO,MOVIE_ADNC_CO,EXPNDTR_PRICE,POPLTN_PER_MOVIE_ADNC_CO,MOVIE_ADNC_CO_SCORE,EXPNDTR_PRICE_SCORE,GNRLZ_SCORE,STDR_SCRNG_MOVIE_CO,STDR_MOVIE_ADNC_CO,STDR_EXPNDTR_PRICE
202401,2024,01,00,전국,323,7748726,74659693558.00000,151.00634,59.38858,54.00197,56.69528,234.58333,2410351.25000,25540506805.66667
202401,2024,01,11,서울시,196,1967825,19653221746.00000,209.69276,82.46908,77.73011,80.09960,234.58333,2410351.25000,25540506805.66667
202401,2024,01,26,부산시,121,507829,4752610519.00000,154.31010,60.68790,53.60035,57.14413,234.58333,2410351.25000,25540506805.66667
202401,2024,01,27,대구시,85,340901,3233017380.00000,143.60716,56.47859,50.54922,53.51390,234.58333,2410351.25000,25540506805.66667
202401,2024,01,28,인천시,96,383355,3721992012.00000,127.76566,50.24836,46.04124,48.14480,234.58333,2410351.25000,25540506805.66667
202401,2024,01,29,광주시,89,262492,2451626385.00000,185.08279,72.79034,64.15977,68.47506,234.58333,2410351.25000,25540506805.66667
202401,2024,01,30,대전시,92,248652,2385854061.00000,172.48790,67.83696,61.42839,64.63267,234.58333,2410351.25000,25540506805.66667
202401,2024,01,31,울산시,50,160284,1538116880.00000,145.26347,57.12999,51.73854,54.43426,234.58333,2410351.25000,25540506805.66667
202401,2024,01,36,세종시,31,51631,504660441.00000,133.43274,52.47714,48.40717,50.44216,234.58333,2410351.25000,25540506805.66667
202401,2024,01,41,경기도,125,2008571,19517428591.00000,147.30724,57.93377,53.12734,55.53056,234.58333,2410351.25000,25540506805.66667
202401,2024,01,43,충청북도,72,190362,1816427339.00000,119.56248,47.02217,42.34394,44.68305,234.58333,2410351.25000,25540506805.66667
202401,2024,01,44,충청남도,112,263957,2538995521.00000,123.89387,48.72564,44.23206,46.47885,234.58333,2410351.25000,25540506805.66667
202401,2024,01,45,전라북도,70,230888,2178878614.00000,131.71615,51.80203,46.13487,48.96845,234.58333,2410351.25000,25540506805.66667
202401,2024,01,46,전라남도,47,189261,1720453572.00000,104.98915,41.29069,35.42296,38.35682,234.58333,2410351.25000,25540506805.66667
202401,2024,01,47,경상북도,66,257278,2358758654.00000,100.83916,39.65856,34.31378,36.98617,234.58333,2410351.25000,25540506805.66667
202401,2024,01,48,경상남도,102,390775,3592931094.00000,120.28647,47.30690,41.04851,44.17771,234.58333,2410351.25000,25540506805.66667
202401,2024,01,50,제주도,40,103100,983174921.00000,152.88729,60.12833,54.11306,57.12069,234.58333,2410351.25000,25540506805.66667
202401,2024,01,51,강원도,78,191565,1711545828.00000,125.51409,49.36285,41.62204,45.49245,234.58333,2410351.25000,25540506805.66667
202402,2024,02,00,전국,292,11458765,110549477509.00000,223.35168,87.84094,79.97729,83.90911,234.58333,2410351.25000,25540506805.66667
202402,2024,02,11,서울시,188,3017261,30208439368.00000,321.43984,126.41757,119.44657,122.93207,234.58333,2410351.25000,25540506805.66667
202402,2024,02,26,부산시,133,793836,7448210817.00000,241.33148,94.91213,84.04148,89.47680,234.58333,2410351.25000,25540506805.66667
202402,2024,02,27,대구시,105,543032,5197750709.00000,228.93346,90.03617,81.33133,85.68375,234.58333,2410351.25000,25540506805.66667
202402,2024,02,28,인천시,112,575616,5547912232.00000,191.67075,75.38129,68.56636,71.97383,234.58333,2410351.25000,25540506805.66667
202402,2024,02,29,광주시,101,360896,3383768237.00000,254.68462,100.16372,88.62981,94.39677,234.58333,2410351.25000,25540506805.66667
202402,2024,02,30,대전시,122,381977,3702241303.00000,264.97916,104.21241,95.32302,99.76772,234.58333,2410351.25000,25540506805.66667
202402,2024,02,31,울산시,54,227090,2192890330.00000,206.04068,81.03277,73.84659,77.43968,234.58333,2410351.25000,25540506805.66667
202402,2024,02,36,세종시,36,74684,715023244.00000,192.88572,75.85912,68.54112,72.20012,234.58333,2410351.25000,25540506805.66667
202402,2024,02,41,경기도,149,2945103,28456956074.00000,215.92272,84.91924,77.43635,81.17779,234.58333,2410351.25000,25540506805.66667
202402,2024,02,43,충청북도,75,273506,2620947016.00000,171.91396,67.61124,61.14502,64.37813,234.58333,2410351.25000,25540506805.66667
202402,2024,02,44,충청남도,105,369762,3550067060.00000,173.49056,68.23129,61.82280,65.02705,234.58333,2410351.25000,25540506805.66667
202402,2024,02,45,전라북도,80,314739,3017797356.00000,179.71551,70.67947,63.95634,67.31791,234.58333,2410351.25000,25540506805.66667
202402,2024,02,46,전라남도,48,245098,2196610766.00000,136.13893,53.54144,45.28499,49.41322,234.58333,2410351.25000,25540506805.66667
202402,2024,02,47,경상북도,89,377285,3428154653.00000,148.04547,58.22411,49.92804,54.07608,234.58333,2410351.25000,25540506805.66667
202402,2024,02,48,경상남도,102,554876,5126556118.00000,171.03462,67.26541,58.65059,62.95800,234.58333,2410351.25000,25540506805.66667
202402,2024,02,50,제주도,40,138561,1337420209.00000,205.68235,80.89185,73.68557,77.28871,234.58333,2410351.25000,25540506805.66667
202402,2024,02,51,강원도,84,265443,2418732017.00000,174.10391,68.47251,58.88214,63.67732,234.58333,2410351.25000,25540506805.66667
202403,2024,03,00,전국,373,11697016,116576755669.00000,228.03897,89.68438,84.35377,87.01908,234.58333,2410351.25000,25540506805.66667
202403,2024,03,11,서울시,223,3097700,32601449220.00000,330.07844,129.81501,128.93573,129.37537,234.58333,2410351.25000,25540506805.66667
202403,2024,03,26,부산시,132,791849,7600450143.00000,240.88186,94.73530,85.81429,90.27479,234.58333,2410351.25000,25540506805.66667
202403,2024,03,27,대구시,95,522740,5125676488.00000,220.56894,86.74653,80.27279,83.50966,234.58333,2410351.25000,25540506805.66667
202403,2024,03,28,인천시,110,597449,5906389001.00000,198.74919,78.16514,72.92646,75.54580,234.58333,2410351.25000,25540506805.66667
202403,2024,03,29,광주시,98,357919,3445021294.00000,252.80800,99.42568,90.31430,94.86999,234.58333,2410351.25000,25540506805.66667
202403,2024,03,30,대전시,110,376635,3785325582.00000,261.24566,102.74408,97.45188,100.09798,234.58333,2410351.25000,25540506805.66667
202403,2024,03,31,울산시,70,235815,2339767545.00000,214.11722,84.20916,78.85177,81.53046,234.58333,2410351.25000,25540506805.66667
202403,2024,03,36,세종시,31,76533,751366552.00000,197.54989,77.69347,71.98441,74.83894,234.58333,2410351.25000,25540506805.66667
202403,2024,03,41,경기도,137,3046559,30399279717.00000,223.31464,87.82637,82.70456,85.26546,234.58333,2410351.25000,25540506805.66667
202403,2024,03,43,충청북도,81,284593,2766088475.00000,178.87186,70.34768,64.52714,67.43741,234.58333,2410351.25000,25540506805.66667
202403,2024,03,44,충청남도,135,382314,3716381004.00000,179.25912,70.49998,64.67551,67.58775,234.58333,2410351.25000,25540506805.66667
202403,2024,03,45,전라북도,97,315406,3105672392.00000,180.29629,70.90788,65.89175,68.39982,234.58333,2410351.25000,25540506805.66667
202403,2024,03,46,전라남도,63,248772,2226033535.00000,138.32693,54.40195,45.94048,50.17122,234.58333,2410351.25000,25540506805.66667
202403,2024,03,47,경상북도,83,378359,3520058506.00000,148.55318,58.42378,51.29633,54.86006,234.58333,2410351.25000,25540506805.66667
202403,2024,03,48,경상남도,130,562432,5298202985.00000,173.51654,68.24151,60.66777,64.45464,234.58333,2410351.25000,25540506805.66667
202403,2024,03,50,제주도,49,132073,1306533775.00000,196.21514,77.16853,72.04398,74.60626,234.58333,2410351.25000,25540506805.66667
202403,2024,03,51,강원도,93,289868,2683059455.00000,190.17739,74.79398,65.33524,70.06461,234.58333,2410351.25000,25540506805.66667
202404,2024,04,00,전국,385,9334807,89958010316.00000,182.01773,71.58490,65.10386,68.34438,234.58333,2410351.25000,25540506805.66667
202404,2024,04,11,서울시,229,2212325,22398723645.00000,235.89908,92.77564,88.64600,90.71082,234.58333,2410351.25000,25540506805.66667
202404,2024,04,26,부산시,128,641696,6028304864.00000,195.34440,76.82609,68.11228,72.46918,234.58333,2410351.25000,25540506805.66667
202404,2024,04,27,대구시,84,424343,4003830236.00000,179.14821,70.45636,62.73785,66.59711,234.58333,2410351.25000,25540506805.66667
202404,2024,04,28,인천시,111,504982,4889192774.00000,167.85265,66.01398,60.31815,63.16607,234.58333,2410351.25000,25540506805.66667
202404,2024,04,29,광주시,89,303503,2818073004.00000,214.51067,84.36390,73.92592,79.14491,234.58333,2410351.25000,25540506805.66667
202404,2024,04,30,대전시,99,314756,3045936197.00000,218.38765,85.88866,78.43925,82.16395,234.58333,2410351.25000,25540506805.66667
202404,2024,04,31,울산시,59,193008,1838354605.00000,175.29306,68.94019,61.96940,65.45479,234.58333,2410351.25000,25540506805.66667
202404,2024,04,36,세종시,32,60881,578764770.00000,157.02068,61.75393,55.40331,58.57862,234.58333,2410351.25000,25540506805.66667
202404,2024,04,41,경기도,151,2434620,23496962314.00000,178.38454,70.15602,63.89933,67.02768,234.58333,2410351.25000,25540506805.66667
202404,2024,04,43,충청북도,76,244596,2318309108.00000,153.75138,60.46816,54.08783,57.27800,234.58333,2410351.25000,25540506805.66667
202404,2024,04,44,충청남도,119,340478,3244440631.00000,159.56206,62.75342,56.43376,59.59359,234.58333,2410351.25000,25540506805.66667
202404,2024,04,45,전라북도,89,273993,2622200944.00000,156.74235,61.64447,55.67644,58.66045,234.58333,2410351.25000,25540506805.66667
202404,2024,04,46,전라남도,69,217323,1914622276.00000,120.92317,47.55731,39.54080,43.54906,234.58333,2410351.25000,25540506805.66667
202404,2024,04,47,경상북도,105,328521,3000274048.00000,129.02809,50.74485,43.73616,47.24051,234.58333,2410351.25000,25540506805.66667
202404,2024,04,48,경상남도,124,488007,4506704150.00000,150.65553,59.25061,51.63886,55.44473,234.58333,2410351.25000,25540506805.66667
202404,2024,04,50,제주도,46,115733,1131563288.00000,172.02334,67.65425,62.42630,65.04027,234.58333,2410351.25000,25540506805.66667
202404,2024,04,51,강원도,98,236042,2121753462.00000,154.91766,60.92684,51.68507,56.30596,234.58333,2410351.25000,25540506805.66667
202405,2024,05,00,전국,374,11356635,109761222818.00000,221.47470,87.10275,79.44781,83.27528,234.58333,2410351.25000,25540506805.66667
202405,2024,05,11,서울시,198,2722206,27457696899.00000,290.46376,114.23513,108.74108,111.48810,234.58333,2410351.25000,25540506805.66667
202405,2024,05,26,부산시,112,768086,7229798010.00000,233.97632,92.01945,81.74229,86.88087,234.58333,2410351.25000,25540506805.66667
202405,2024,05,27,대구시,73,533582,5055896504.00000,225.34898,88.62645,79.25217,83.93931,234.58333,2410351.25000,25540506805.66667
202405,2024,05,28,인천시,99,616043,5971029762.00000,204.67408,80.49531,73.63082,77.06307,234.58333,2410351.25000,25540506805.66667
202405,2024,05,29,광주시,73,383498,3575388597.00000,271.16628,106.64572,93.83274,100.23923,234.58333,2410351.25000,25540506805.66667
202405,2024,05,30,대전시,84,378099,3678641734.00000,262.36487,103.18425,94.74280,98.96353,234.58333,2410351.25000,25540506805.66667
202405,2024,05,31,울산시,45,240709,2313650758.00000,218.70528,86.01358,78.02312,82.01835,234.58333,2410351.25000,25540506805.66667
202405,2024,05,36,세종시,28,74516,708777495.00000,192.16348,75.57507,67.84062,71.70785,234.58333,2410351.25000,25540506805.66667
202405,2024,05,41,경기도,122,2905979,28153569687.00000,212.81880,83.69851,76.52609,80.11230,234.58333,2410351.25000,25540506805.66667
202405,2024,05,43,충청북도,55,287888,2759788343.00000,180.92497,71.15514,64.37382,67.76448,234.58333,2410351.25000,25540506805.66667
202405,2024,05,44,충청남도,119,409044,3899054732.00000,191.62398,75.36290,67.79501,71.57895,234.58333,2410351.25000,25540506805.66667
202405,2024,05,45,전라북도,71,347382,3384018304.00000,198.85489,78.20671,71.89857,75.05264,234.58333,2410351.25000,25540506805.66667
202405,2024,05,46,전라남도,61,277431,2473543543.00000,154.49595,60.76099,51.12581,55.94340,234.58333,2410351.25000,25540506805.66667
202405,2024,05,47,경상북도,93,404058,3745409443.00000,158.73916,62.42978,54.61328,58.52153,234.58333,2410351.25000,25540506805.66667
202405,2024,05,48,경상남도,114,577048,5354932815.00000,178.25859,70.10649,61.39756,65.75202,234.58333,2410351.25000,25540506805.66667
202405,2024,05,50,제주도,34,135260,1329067428.00000,201.11127,79.09411,73.34535,76.21973,234.58333,2410351.25000,25540506805.66667
202405,2024,05,51,강원도,95,295806,2670958764.00000,194.23199,76.38859,65.09379,70.74119,234.58333,2410351.25000,25540506805.66667
